"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_201121	4448	3584	0.311586150665903	0.729249406428369	22.7034906825636	4.13801099950108e-114	1.99542386238418e-113	1.70467234287874e-114	TRUE
NM_201178	8551	8046	0.0878214084302353	0.505484664192701	22.6828119979034	6.62193407237256e-114	3.19203651293525e-113	2.72692757846362e-114	TRUE
NM_001003439	17371	18271	-0.0728747886833148	0.344788467079151	22.6753070129281	7.85321601213833e-114	3.78416511497349e-113	3.23277762383494e-114	TRUE
NM_001128825	307	1418	-2.20754697186934	-1.78988371610687	-22.6520196299563	1.33260943802951e-113	6.4189651069634e-113	5.48366314246145e-114	TRUE
NM_001144784	5209	4390	0.246785497327982	0.664448753090448	22.6386604600354	1.80443874832667e-113	8.68848247810007e-113	7.42249106127618e-114	TRUE
NM_199793	14392	24265	-0.753609768400077	-0.335946512637611	-22.6282225160723	2.28634754323167e-113	1.10048403519978e-112	9.40133439290041e-114	TRUE
NM_001002680	5024	4195	0.260165653564441	0.677828909326907	22.6281850336286	2.28829133099141e-113	1.10101335748624e-112	9.40585634474839e-114	TRUE
NM_001079816	1202	517	1.21720071039625	1.63486396615872	22.6156473725405	3.04038269829366e-113	1.46234335975452e-112	1.24926654840512e-113	TRUE
NM_001328193	19068	20304	-0.0906104437714301	0.327052811991036	22.6045553859879	3.90892738940185e-113	1.87939730436261e-112	1.60555191627301e-113	TRUE
NM_001004018	1619	856	0.91942028390142	1.33708353966389	22.6030953223933	4.04034618292242e-113	1.94186719270597e-112	1.65891937014039e-113	TRUE
NM_001080193	6681	12450	-0.89800977833386	-0.480346522571394	-22.6020715240051	4.1351184990863e-113	1.9866845562461e-112	1.69720643362991e-113	TRUE
NM_212792	5470	10525	-0.944207495161201	-0.526544239398735	-22.5983047122784	4.50330992206425e-113	2.1627825708176e-112	1.8476453557731e-113	TRUE
NM_213099	65829	78091	-0.246433004992866	0.1712302507696	22.595288093657	4.82162766664279e-113	2.31480718747474e-112	1.97751859440548e-113	TRUE
NM_001005983	2594	1739	0.576920546945113	0.994583802707579	22.583402866789	6.30987052834166e-113	3.02818069064344e-112	2.58694704914051e-113	TRUE
NM_001114418	5937	5178	0.197339147868556	0.615002403631022	22.5628898210176	1.00348531303174e-112	4.81407224096579e-112	4.11261785553144e-113	TRUE
NM_212938	4184	8436	-1.01167624354675	-0.594012987784284	-22.5587078905105	1.10297556609329e-112	5.28941664857387e-112	4.51870023244729e-113	TRUE
NM_001013318	11579	11513	0.0082468501624593	0.425910105924925	22.5489999708948	1.37353999569189e-112	6.58451146777106e-112	5.62508788336631e-113	TRUE
NM_130908	79931	118196	-0.564354168805941	-0.146690913043476	-22.5399539575335	1.68493784140078e-112	8.07433108127546e-112	6.89782714387852e-113	TRUE
NM_001089351	27740	30787	-0.150353504989543	0.267309750772923	22.5166448981488	2.85157867567851e-112	1.36599310486781e-111	1.1669554074837e-112	TRUE
NM_131823	8229	7708	0.0943605512737129	0.512023807036179	22.5139416677876	3.03089022349375e-112	1.45135580305626e-111	1.23987997927943e-112	TRUE
NM_001014344	8313	7803	0.0913403115384241	0.50900356730089	22.5068644195652	3.55544865624261e-112	1.70191824851481e-111	1.4539331832072e-112	TRUE
NM_001172637	1195	3256	-1.44609008139814	-1.02842682563567	-22.5043700581371	3.76116519841952e-112	1.79972996508379e-111	1.53749283746803e-112	TRUE
NM_001098489	3369	2501	0.429815370940787	0.847478626703253	22.4964600730849	4.49541020837329e-112	2.15027982244302e-111	1.83696437226584e-112	TRUE
NM_001014337	2186	5055	-1.20941769111847	-0.791754435356005	-22.4913595693479	5.04306007991922e-112	2.41135174789099e-111	2.05999572876246e-112	TRUE
NM_001328165	2104	1289	0.70688244093065	1.12454569669312	22.4844196180302	5.8966554384855e-112	2.81846733380743e-111	2.40779084775909e-112	TRUE
NM_001077302	3855	7883	-1.03201391439637	-0.614350658633907	-22.4740267956124	7.45189534194879e-112	3.56053197217509e-111	3.04172987670417e-112	TRUE
