spearman	sample1	sample2
0.762680888817	NAI_sphere_rep2	DMSO_egg_rep2
0.730543414475	NAI_sphere_rep2	NAI_egg_rep1
0.790320264097	NAI_sphere_rep2	DMSO_1cell_rep1
0.732766698226	NAI_sphere_rep2	DMSO_egg_rep1
0.9349902594	NAI_sphere_rep2	NAI_4cell_rep1
0.937628789115	NAI_sphere_rep2	NAI_64cell_rep2
0.583693777937	NAI_sphere_rep2	DMSO_shield_rep2
0.776841802796	NAI_sphere_rep2	NAI_egg_rep2
0.967181507204	NAI_sphere_rep2	DMSO_sphere_rep1
0.574192658901	NAI_sphere_rep2	DMSO_shield_rep1
1.0	DMSO_egg_rep2	DMSO_egg_rep2
0.972174746327	DMSO_egg_rep2	NAI_egg_rep1
0.969048354438	DMSO_egg_rep2	DMSO_1cell_rep1
0.963428999646	DMSO_egg_rep2	DMSO_egg_rep1
0.887347731738	DMSO_egg_rep2	NAI_4cell_rep1
0.794257444578	DMSO_egg_rep2	NAI_64cell_rep2
0.510436459685	DMSO_egg_rep2	DMSO_shield_rep2
0.996167731411	DMSO_egg_rep2	NAI_egg_rep2
0.769842351059	DMSO_egg_rep2	DMSO_sphere_rep1
0.525011291918	DMSO_egg_rep2	DMSO_shield_rep1
1.0	NAI_egg_rep1	NAI_egg_rep1
0.96449583798	NAI_egg_rep1	DMSO_1cell_rep1
0.984411926375	NAI_egg_rep1	DMSO_egg_rep1
0.857458377098	NAI_egg_rep1	NAI_4cell_rep1
0.741618249014	NAI_egg_rep1	NAI_64cell_rep2
0.494355879667	NAI_egg_rep1	DMSO_shield_rep2
0.98016630883	NAI_egg_rep1	NAI_egg_rep2
0.737050335012	NAI_egg_rep1	DMSO_sphere_rep1
0.500566433827	NAI_egg_rep1	DMSO_shield_rep1
1.0	DMSO_1cell_rep1	DMSO_1cell_rep1
0.970752711434	DMSO_1cell_rep1	DMSO_egg_rep1
0.901522686147	DMSO_1cell_rep1	NAI_4cell_rep1
0.788120507312	DMSO_1cell_rep1	NAI_64cell_rep2
0.517160726055	DMSO_1cell_rep1	DMSO_shield_rep2
0.969032151398	DMSO_1cell_rep1	NAI_egg_rep2
0.811558356375	DMSO_1cell_rep1	DMSO_sphere_rep1
0.509584438538	DMSO_1cell_rep1	DMSO_shield_rep1
1.0	DMSO_egg_rep1	DMSO_egg_rep1
0.844590379173	DMSO_egg_rep1	NAI_4cell_rep1
0.716610254614	DMSO_egg_rep1	NAI_64cell_rep2
0.491436208656	DMSO_egg_rep1	DMSO_shield_rep2
0.965534943153	DMSO_egg_rep1	NAI_egg_rep2
0.746177235425	DMSO_egg_rep1	DMSO_sphere_rep1
0.484132368127	DMSO_egg_rep1	DMSO_shield_rep1
1.0	NAI_4cell_rep1	NAI_4cell_rep1
0.953167278824	NAI_4cell_rep1	NAI_64cell_rep2
0.577824445521	NAI_4cell_rep1	DMSO_shield_rep2
0.899396566176	NAI_4cell_rep1	NAI_egg_rep2
0.923830436012	NAI_4cell_rep1	DMSO_sphere_rep1
0.586646724257	NAI_4cell_rep1	DMSO_shield_rep1
1.0	NAI_64cell_rep2	NAI_64cell_rep2
0.560250864436	NAI_64cell_rep2	DMSO_shield_rep2
0.809910117099	NAI_64cell_rep2	NAI_egg_rep2
0.88938576486	NAI_64cell_rep2	DMSO_sphere_rep1
0.591427154567	NAI_64cell_rep2	DMSO_shield_rep1
1.0	DMSO_shield_rep2	DMSO_shield_rep2
0.516057728018	DMSO_shield_rep2	NAI_egg_rep2
0.623482071901	DMSO_shield_rep2	DMSO_sphere_rep1
0.970806704565	DMSO_shield_rep2	DMSO_shield_rep1
1.0	NAI_egg_rep2	NAI_egg_rep2
0.780762220991	NAI_egg_rep2	DMSO_sphere_rep1
0.530923797154	NAI_egg_rep2	DMSO_shield_rep1
1.0	DMSO_sphere_rep1	DMSO_sphere_rep1
0.603065282398	DMSO_sphere_rep1	DMSO_shield_rep1
1.0	DMSO_shield_rep1	DMSO_shield_rep1
