	transcript	riboseq(control)	riboseq(RK33)	rnaseq(control)	rnaseq(RK33)	TE(control)	TE(RK33)	log2(TE(control))	log2(TE(RK33))
4763	NM_001142592	13.3530562743	0.674252530859	28.3142480738	21.8351233502	0.471602008978	0.0308792636545	-1.08435823082	-5.0172178392
4764	NM_001037122_2	5.87664165209	6.92385397975	79.5895234918	78.0119348981	0.073836874431	0.0887537783647	-3.75951470584	-3.49404765154
4765	NM_001256194	78.361644587	44.8438726282	195.236721867	220.706617603	0.40136734441	0.203183180981	-1.31700485231	-2.29914711069
4766	NM_205744	4.35057186527	0.307550394666	5.07989961974	6.42089922403	0.856428707442	0.0478983369674	-0.223594939297	-4.38388062339
4767	NM_198357	12.5857301733	2.54202790663	7.88273546005	10.8099877532	1.59661962996	0.235155484416	0.675020653807	-2.08831311503
4768	NM_198356	51.0802341203	23.7433064602	130.052721619	136.687218737	0.392765591403	0.173705388694	-1.34825954835	-2.52528558481
4769	NM_200184	79.4543224273	15.6021686965	166.717704998	122.332235549	0.476579991479	0.127539308233	-1.06920971155	-2.97098613367
4770	NM_001003741	3.27702159503	0.463318072241	3.30608439239	3.15296908932	0.991209299609	0.146946595135	-0.0127383718588	-2.76663616386
4771	NM_001033595	123.491432455	73.2419599193	260.472129423	286.382155724	0.474106126934	0.255749034831	-1.07671805757	-1.96719929948
4772	NM_199734	54.2951368786	0.984161262932	138.055002049	168.396962117	0.393286270492	0.00584429345138	-1.34634827179	-7.41875566466
4773	NM_001033592	2.6570652139	3.13055187723	9.41281941001	13.8036641423	0.282281545854	0.226791368216	-1.82479327915	-2.1405623632
4774	NM_200182	28.6953847968	10.7392903108	236.002691562	257.028507495	0.12158922683	0.0417824871469	-3.03991268755	-4.58095781686
4775	NM_200183	10.5837842525	3.99033766868	56.9350559328	43.9620623838	0.185892225433	0.0907677541113	-2.42746166118	-3.46167632889
4776	NM_200497	5.71053487182	4.03688827119	22.5428737854	18.0324070153	0.253318850391	0.223868520035	-1.98097365758	-2.15927642146
4777	NM_001020779	22.0498134119	7.19420416495	6.96596149196	15.9230515133	3.16536538959	0.451810644394	1.66237204478	-1.1462098347
4778	NM_199780	19.9356076314	8.55638483053	122.995378166	105.171433584	0.162084201282	0.0813565484367	-2.62518461997	-3.61959771583
4779	NM_212662	8.86071487854	0.695979093813	86.2493976586	61.5863798994	0.102733643586	0.0113008605953	-3.28301937686	-6.46742354728
4780	NM_001017732	1.25273483759	1.77116528882	2.73759671904	3.37361544387	0.457603864323	0.525005092693	-1.12782885961	-0.929596677504
4781	NM_001077259	6.75837054605	2.86657422487	11.1025181974	8.27841763546	0.608724113385	0.346270791243	-0.71613957847	-1.53002739695
4782	NM_001118896	10.4201285855	9.00312325221	97.2433800712	98.1334987149	0.107155145963	0.0917436285276	-3.22222695997	-3.44624822158
4783	NM_205747	1.21983879952	4.31163897346	0.62890724807	0.74464684243	1.93961637946	5.79017962312	0.955771342014	2.53360810424
4784	NM_001012482	0.351974516763	0.248817637992	1.02074651346	0.519912409179	0.344820689683	0.47857607089	-1.53608175431	-1.06317983188
4785	NM_199913	14.013126766	3.44561812611	121.773860756	110.680531356	0.115074997861	0.0311312033281	-3.11935367914	-5.00549484676
4786	NM_001003499	2.74243277097	1.93867911433	30.2784484251	25.4354437079	0.0905737550507	0.0762195909218	-3.46476311901	-3.71369432469
