egg(transcript)	egg(UTR5)	egg(CDS)	egg(UTR3)	1cell(transcript)	1cell(UTR5)	1cell(CDS)	1cell(UTR3)	4cell(transcript)	4cell(UTR5)	4cell(CDS)	4cell(UTR3)	64cell(transcript)	64cell(UTR5)	64cell(CDS)	64cell(UTR3)	1K(transcript)	1K(UTR5)	1K(CDS)	1K(UTR3)	sphere(transcript)	sphere(UTR5)	sphere(CDS)	sphere(UTR3)	shield(transcript)	shield(UTR5)	shield(CDS)	shield(UTR3)
NM_001080176	0.29865121412803536	0.6716315789473685	0.28140081799591005	0.32567955801104975	0.3354289919058131	0.6120526315789473	0.31938548057259714	0.3642541436464089	0.2732207505518764	0.5638421052631578	0.26103680981595095	0.29088397790055254	0.24408094186902135	0.5480526315789472	0.22857055214723926	0.2700303867403315	0.27417439293598234	0.6228947368421053	0.26289161554192225	0.28635359116022097	0.30136497424576897	0.6946842105263157	0.28250408997955007	0.3316767955801105	NULL	NULL	NULL	NULL
NM_001012389	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001080174	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.21878620019436346	NULL	0.20860937499999999	0.24083076923076926	NULL	NULL	NULL	NULL	0.26944011142061286	0.3105952380952381	0.26315449438202243	0.28473006134969325	NULL	NULL	NULL	NULL
NM_213395	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001012386	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.25571059431524545	0.28304268292682927	0.2563831578947368	0.24651149425287358	0.2952928509905254	0.3760487804878049	0.28935157894736846	0.27532758620689657	0.32036606373815674	0.3787439024390244	0.3217621052631579	0.30075478927203064
NM_213397	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001012384	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2750288065843622	NULL	NULL	NULL	0.2467423935091278	NULL	NULL	NULL	0.24931779661016948	0.29317772511848345	0.2991215277777778	0.2917271689497717	0.29486382113821136	NULL	NULL	NULL	NULL
NM_001012383	NULL	NULL	NULL	0.30816549789621317	0.3182605304212168	NULL	NULL	0.31449337748344375	NULL	NULL	NULL	0.2605636363636364	0.24931834662799127	NULL	NULL	0.2579608391608392	0.23575843454790824	NULL	0.245615925058548	0.2223535031847134	0.27856612184249624	0.2558333333333333	0.28655059760956175	0.26618169014084503	NULL	NULL	NULL	NULL
NM_001012382	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_213393	0.31017760180995474	NULL	0.29475834445927906	0.320543842364532	0.33898730158730156	NULL	0.3152290076335878	0.36846740220661983	0.26326364909006067	NULL	0.2516580882352941	0.2761093596059113	0.23837421944692236	NULL	0.22402120441051737	0.25338423645320196	0.2619438252340615	NULL	0.26261577608142495	0.2611674876847291	0.2828405861456484	NULL	0.26989312977099233	0.29712709359605904	0.2842972122302158	NULL	0.29045716709075486	0.2771546798029556
NM_153659	0.2875870516185477	NULL	0.27311119812059514	0.3086901840490798	0.36277608956417434	0.39227956989247303	0.36025508058864747	0.36364627930682974	0.28614076710162123	0.3887816091954023	0.2856687675070028	0.27799901380670605	0.25600827097282397	0.26377319587628867	0.24811134453781514	0.26638658777120316	0.26667388735722725	0.3526494845360826	0.2734166666666667	0.24895364891518734	0.300988578180386	0.37947422680412374	0.31736484593837533	0.2704181459566075	0.30758763292634894	0.40084536082474226	0.3201512605042017	0.28097337278106504
