value1	value2	log2.Fold_change.	log2.Fold_change..normalized	z.score	p.value	q.value.Benjamini.et.al..1995.	q.value.Storey.et.al..2003.	Signature.p.value...0.001.
NM_214707	5596	56799	-3.34339766233048	-3.13185365407253	-205.244089285286	0	0	0	TRUE
NM_001017633	12191	74819	-2.61758821174407	-2.40604420348612	-205.232258570163	0	0	0	TRUE
NM_199333	5375	56011	-3.38137352605243	-3.16982951779448	-204.933468442305	0	0	0	TRUE
NM_200319	1976	44993	-4.50904571272186	-4.29750170446391	-204.811203699958	0	0	0	TRUE
NM_001080988	1084	42209	-5.28311398809931	-5.07156997984136	-204.716355253721	0	0	0	TRUE
NM_213066	1996	44938	-4.4927522919145	-4.28120828365654	-204.486506343897	0	0	0	TRUE
NM_001077608	423	41778	-6.62594195566684	-6.41439794740889	-204.115700221008	0	0	0	TRUE
NM_001076629	2955	47945	-4.02015033444487	-3.80860632618691	-203.938343674149	0	0	0	TRUE
NM_001327745	74635	197218	-1.40186698735939	-1.19032297910143	-203.551341150797	0	0	0	TRUE
NM_199657	5739	56266	-3.29339212504908	-3.08184811679113	-202.766668313725	0	0	0	TRUE
NM_001044767	9229	66011	-2.8384602140817	-2.62691620582374	-202.56371582904	0	0	0	TRUE
NM_131670	17747	86982	-2.29314171322223	-2.08159770496427	-202.523458739815	0	0	0	TRUE
NM_001110414	16519	83870	-2.3440285021585	-2.13248449390055	-201.939366192928	0	0	0	TRUE
NM_001164028	1439	42025	-4.86810932227059	-4.65656531401264	-201.539675743732	0	0	0	TRUE
NM_001312680	5734	55679	-3.27951949079161	-3.06797548253365	-201.281476895174	0	0	0	TRUE
NM_199925	26339	104929	-1.99414098362561	-1.78259697536766	-200.623826806791	0	0	0	TRUE
NM_199862	3742	49047	-3.71228343182585	-3.5007394235679	-199.985444257425	0	0	0	TRUE
NM_214783	5343	53852	-3.33327800348968	-3.12173399523172	-199.552064056868	0	0	0	TRUE
NM_001002355	15939	81436	-2.3531055817437	-2.14156157348574	-199.519817748539	0	0	0	TRUE
NM_001139462	2136	43429	-4.34567518141238	-4.13413117315442	-199.128966765266	0	0	0	TRUE
NM_201185	1006	39821	-5.3068272407603	-5.09528323250234	-198.951347170442	0	0	0	TRUE
NM_212709	41146	133438	-1.69734547933393	-1.48580147107598	-198.538000419922	0	0	0	TRUE
NM_001004652	3515	47516	-3.75681679764037	-3.54527278938241	-197.810693276485	0	0	0	TRUE
NM_001327754	9092	63484	-2.80372344310062	-2.59217943484266	-197.204993510913	0	0	0	TRUE
NM_001037700	3035	45659	-3.91113084114818	-3.69958683289023	-197.007130037298	0	0	0	TRUE
NM_001013351	8631	62133	-2.84776008744638	-2.63621607918843	-196.900926382393	0	0	0	TRUE
NM_183072	14693	77327	-2.39584324913133	-2.18429924087338	-196.836620990543	0	0	0	TRUE
NM_198809	62189	170969	-1.45900343628415	-1.24745942802619	-196.652523915494	0	0	0	TRUE
NM_001102676	41524	132962	-1.6789966581712	-1.46745264991324	-196.35958000823	0	0	0	TRUE
NM_200045	2985	45225	-3.9213176662438	-3.70977365798584	-196.261632352687	0	0	0	TRUE
NM_001142672	3732	47498	-3.66984587580804	-3.45830186755009	-195.851276636248	0	0	0	TRUE
NM_198911	11083	67961	-2.61635863104125	-2.4048146227833	-195.540551786938	0	0	0	TRUE
NM_199855	6083	54293	-3.15791129393209	-2.94636728567414	-194.947336177841	0	0	0	TRUE
NM_001326540	4605	49678	-3.43133403144954	-3.21979002319158	-194.35127402946	0	0	0	TRUE
NM_001327862	3770	46843	-3.63519704574934	-3.42365303749138	-193.707081119978	0	0	0	TRUE
NM_001256204	11133	67302	-2.5958069708818	-2.38426296262384	-193.615477369955	0	0	0	TRUE
NM_001005931	15171	77040	-2.34429151888238	-2.13274751062442	-193.555710051186	0	0	0	TRUE
NM_001002448	11517	68234	-2.56672582614144	-2.35518181788348	-193.546865911454	0	0	0	TRUE
NM_213181	4557	49183	-3.43200346156034	-3.22045945330238	-193.398264136418	0	0	0	TRUE
NM_212963	5968	53329	-3.15960083483871	-2.94805682658075	-193.262916134531	0	0	0	TRUE
NM_001082841	3174	44684	-3.81538430477057	-3.60384029651261	-193.024700443725	0	0	0	TRUE
NM_001039640	7327	57029	-2.9604012145708	-2.74885720631285	-192.896946920453	0	0	0	TRUE
NM_200333	7787	58241	-2.90289559549298	-2.69135158723502	-192.769748839226	0	0	0	TRUE
NM_001083006	3993	46936	-3.55514992003832	-3.34360591178036	-192.011014789992	0	0	0	TRUE
NM_173241	10130	64043	-2.66040671622214	-2.44886270796419	-191.826385244075	0	0	0	TRUE
NM_001013265	46571	139808	-1.58594315000448	-1.37439914174652	-191.652123339715	0	0	0	TRUE
NM_200781	1528	38626	-4.65985583537513	-4.44831182711717	-191.358876684047	0	0	0	TRUE
NM_201075	11905	68286	-2.52002220679583	-2.30847819853788	-191.323477303415	0	0	0	TRUE
NM_201313	3504	45097	-3.6859567838263	-3.47441277556834	-191.191130286005	0	0	0	TRUE
NM_001017830	1382	38031	-4.78234635334067	-4.57080234508271	-191.009951380564	0	0	0	TRUE
NM_199719	25279	98032	-1.95531336267457	-1.74376935441662	-190.973595085066	0	0	0	TRUE
NM_001082823	13362	71510	-2.42000903935286	-2.20846503109491	-190.581237342956	0	0	0	TRUE
NM_199885	8095	58228	-2.84661008067416	-2.63506607241621	-190.567078833723	0	0	0	TRUE
NM_200179	9614	62193	-2.69354350145243	-2.48199949319448	-190.495850018206	0	0	0	TRUE
NM_001201442	11708	67240	-2.52182507371478	-2.31028106545682	-189.94116900887	0	0	0	TRUE
NM_001037101	22898	92335	-2.01165601837953	-1.80011201012157	-189.469086611995	0	0	0	TRUE
