	DMSO_egg	DMSO_1cell	DMSO_4cell	DMSO_64cell	DMSO_1K	DMSO_sphere	DMSO_shield	NAI_egg	NAI_1cell	NAI_4cell	NAI_64cell	NAI_1K	NAI_sphere	NAI_shield
NM_001098196	2.55925445007	2.62550363912	4.22306772357	4.79509245046	4.24459942491	4.17880369894	2.31484740012	2.64324096882	3.37066917889	4.0473277597	4.78187487742	4.44134952426	3.86214954334	2.09165759438
NM_001002505	8.92320045701	8.65355712148	8.33997953311	7.95311567638	7.98376194044	7.66020211801	6.63249398159	8.8361246669	8.29303131327	7.4628946483	7.0361863125	7.15156815127	7.60152429343	7.25530138486
NM_001002506	1.16105527882	1.47303439924	2.14677003612	2.73740521612	2.46543484659	2.21934644721	2.79312125752	1.23236525373	1.66563516422	2.20749175935	2.83810286564	2.68249370161	2.46269228511	2.60699963423
NR_015622	4.32960439298	3.87421662899	5.84783596529	7.34532066814	7.84178175747	7.72986086442	6.23181634435	4.58641035605	4.64351698511	6.10542549227	7.98306147249	8.45269656775	8.30678022043	6.88284425803
NM_001002502	5.22180425112	5.53308178156	4.90631155579	5.11139844899	4.98802524069	5.16388853703	5.23063056372	5.11415848194	4.86455786722	5.1820438195	5.16881092156	5.18627336106	5.32350610457	5.7103569009
NM_001002503	4.71070067872	5.62218142209	4.6700729494	4.2003574483	4.35563051181	4.64464425798	5.15860632544	4.6920149965	4.64188019663	4.21358359696	3.66958438659	3.75373085992	4.00281148668	5.26902908562
NM_001244736	4.61573299019	4.13185007622	6.25794857729	6.99360851671	7.22522216614	6.90023093037	8.18881259766	4.77139272775	5.31490858993	6.23252796649	6.70610194135	6.42837194351	6.5195566432	7.7713302627
NM_205541	8.75696919157	8.31691339521	7.87947842215	7.42517468778	7.57917042015	7.49106827277	7.69724427222	8.36991091498	7.81578602864	7.43316542947	6.92583550869	7.27708762347	7.54606110849	8.04263962366
NM_001003589	4.47939170079	4.92976824964	5.33794388646	5.78908850251	5.4626920346	5.38588706843	5.17228360617	4.50989253765	4.8358577529	5.51560511246	5.79083437959	5.43033720897	5.21236803384	5.0554015562
NM_001245063	2.18753523249	2.11480167033	3.01144523252	3.39288595352	2.87820341557	2.63167778287	3.2430696938	2.11303800274	2.20358582469	2.7673736916	3.21674458953	2.7949453835	2.47067920924	2.56168870036
NM_001030143	4.19528818256	4.10351078855	3.81542651948	4.03249253868	4.06900437358	3.95261956414	2.42344744537	4.16295574804	3.88697277916	4.2186956738	4.40497095684	4.51054866548	4.64700879011	3.2840905173
NM_001003580	3.62273347786	3.84311987722	4.63751717748	4.65552301615	4.4028686583	4.77053201519	2.76430202247	3.34301413014	4.31864048828	4.41813064841	4.77451978057	4.98984735507	4.62531893602	2.47192235352
NM_001003586	1.20520890488	1.52013533652	2.97177741719	3.57808131478	3.46517247578	3.79471451386	0.820898698149	1.01689158876	2.0201131703	2.71737829913	3.66578888414	3.72763234389	3.91545019778	1.22621646876
NM_001003585	6.22297038576	5.86129651213	5.30033682091	5.28472856292	4.55095808506	4.60129193314	5.00938784334	6.1938792524	5.95347910544	5.68945633766	5.65008979066	5.18979052017	4.59802465814	4.75918338418
NM_001003584	5.5634913331	5.55025925609	5.66689314691	5.73036939314	5.1899068025	5.40394156309	3.72174446877	5.58045850785	5.29904499181	5.61152466471	5.60631775556	5.24326037758	5.17354997452	3.56267177599
NM_200728	3.70052047181	4.39768039663	5.13932622102	5.90329012756	5.97406193467	5.96193826634	5.8545334807	3.76993410174	5.00200556167	5.52925798318	6.3432237862	6.19360587258	6.08687305342	6.1399269143
NR_131904	6.07420301062	6.19830117546	5.62644412146	5.41277873412	5.02891197177	5.34252504919	5.43498217543	5.95861339275	5.45335164914	5.26157877789	5.20926203552	4.70113256416	4.79478881433	4.79731029243
NM_001045023	2.13467199019	2.73691445611	3.25631510035	3.80858545146	3.24012268212	3.25059688501	0.494304048672	2.15567042061	2.67373444256	3.46444983761	3.85360854615	3.63732664515	3.38566480536	0.844495448968
