"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_001326603	0	138	-8.10852445677817	-7.86110779746544	-11.1250977869232	9.47019731709974e-29	1.41942997114185e-28	4.25800549782515e-30	TRUE
NM_001007048	0	138	-8.10852445677817	-7.86110779746544	-11.1250977869232	9.47019731709974e-29	1.41942997114185e-28	4.25800549782515e-30	TRUE
NM_001159669	0	138	-8.10852445677817	-7.86110779746544	-11.1250977869232	9.47019731709974e-29	1.41942997114185e-28	4.25800549782515e-30	TRUE
NM_001328419	0	138	-8.10852445677817	-7.86110779746544	-11.1250977869232	9.47019731709974e-29	1.41942997114185e-28	4.25800549782515e-30	TRUE
NM_001328416	0	138	-8.10852445677817	-7.86110779746544	-11.1250977869232	9.47019731709974e-29	1.41942997114185e-28	4.25800549782515e-30	TRUE
NM_131445	0	138	-8.10852445677817	-7.86110779746544	-11.1250977869232	9.47019731709974e-29	1.41942997114185e-28	4.25800549782515e-30	TRUE
NM_001002511	358	152	1.23588826382067	1.48330492313341	11.1242375662552	9.56198685637842e-29	1.43261972706084e-28	4.29878922045047e-30	TRUE
NM_001089578	3524	3190	0.143657500268183	0.391074159580918	11.1193343723256	1.01022868278904e-28	1.51339851698163e-28	4.54117803081883e-30	TRUE
NM_200064	16	168	-3.39231742277876	-3.14490076346603	-11.1191641714528	1.01215760861071e-28	1.51611653113646e-28	4.54933383778498e-30	TRUE
NM_001145557	49	256	-2.38529015588479	-2.13787349657206	-11.1096144880524	1.12644768151135e-28	1.68712126715832e-28	5.06245906004122e-30	TRUE
NM_001110762	119	0	7.89481776330794	8.14223442262068	11.1040307328368	1.19911251038966e-28	1.79564910021681e-28	5.38780811867813e-30	TRUE
NM_001317750	119	0	7.89481776330794	8.14223442262068	11.1040307328368	1.19911251038966e-28	1.79564910021681e-28	5.38780811867813e-30	TRUE
NM_001014341	1591	1244	0.354947350200444	0.602364009513179	11.0940890393145	1.34018397497692e-28	2.00656039073436e-28	6.02098380675548e-30	TRUE
NM_001003764	1369	2352	-0.780765613578463	-0.533348954265729	-11.0938486049455	1.34379218319715e-28	2.0117350504505e-28	6.03651114522991e-30	TRUE
NM_001076739	23	188	-3.03102689562062	-2.78361023630789	-11.0837762072543	1.503928470151e-28	2.25121366541101e-28	6.75510245670983e-30	TRUE
NM_001327932	230	612	-1.41189779174828	-1.16448113243554	-11.075431491592	1.65082996361215e-28	2.47082932675931e-28	7.41409201256569e-30	TRUE
NM_001089526	38	228	-2.58496250072116	-2.33754584140842	-11.0738259206694	1.68068588633712e-28	2.51523073884476e-28	7.54732507367765e-30	TRUE
NM_182879	178	518	-1.54107485672016	-1.29365819740742	-11.0691751169186	1.77022530911847e-28	2.64893135771844e-28	7.94851372711112e-30	TRUE
NM_001030102	6422	9114	-0.50506170549747	-0.257645046184735	-11.0658899848631	1.83630849558033e-28	2.74750624279356e-28	8.24430237595055e-30	TRUE
NM_001013527	118	0	7.88264304936184	8.13005970867458	11.0640606992629	1.8741608821186e-28	2.80382435903564e-28	8.41329328571154e-30	TRUE
